title,author_name,author_birth_year,author_death_year,translators,subjects,bookshelves,copyright,download_count
"River Legends; Or, Father Thames and Father Rhine","Brabourne, Edward Hugessen Knatchbull-Hugessen, Baron",1829,1893,,"Children's stories, Legends -- Juvenile literature","Browsing: Children & Young Adult Reading, Browsing: Literature",False,186
The Library of Work and Play: Outdoor Work,"Miller, Mary Rogers",1868,,,Agriculture -- Juvenile literature,Browsing: Children & Young Adult Reading,False,186
"Cædwalla; or, The Saxons in the Isle of Wight: A Tale","Cowper, Frank",1849,1930,,"Adventure stories, Conversion -- Christianity -- Juvenile fiction, Honor -- Juvenile fiction, Isle of Wight (England) -- Juvenile fiction, Kings and rulers -- Juvenile fiction, Saxons -- Juvenile fiction, Voyages and travels -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Fiction",False,186
"The Marvellous Adventures and Rare Conceits of Master Tyll Owlglass: Newly collected, chronicled and set forth, in our English tongue",N/A,N/A,N/A,"Mackenzie, Kenneth R. H. (Kenneth Robert Henderson)","Deception -- Juvenile fiction, Eulenspiegel (Satire) -- Juvenile fiction, Fools and jesters -- Juvenile fiction, Honesty -- Juvenile fiction, Practical jokes -- Juvenile fiction, Satire","Browsing: Children & Young Adult Reading, Browsing: Humour, Browsing: Literature",False,186
Star-land: Being Talks With Young People About the Wonders of the Heavens,"Ball, Robert S. (Robert Stawell)",1840,1913,,"Astronomy -- Juvenile literature, Comets -- Juvenile literature, Cosmology -- Juvenile literature, Meteors -- Juvenile literature, Moon -- Juvenile literature, Planets -- Juvenile literature, Solar system -- Juvenile literature","Browsing: Children & Young Adult Reading, Browsing: Science - Astronomy",False,186
Percy Wynn : $b oder ein seltsames Kind der Neuen Welt.,"Finn, Francis J. (Francis James)",1859,1928,,"Boarding schools -- Juvenile fiction, Catholic schools -- Juvenile fiction, Catholics -- Juvenile fiction, Children -- Conduct of life -- Juvenile fiction, Christian life -- Juvenile fiction, Conduct of life -- Juvenile fiction, Friendship -- Juvenile fiction, Siblings -- Juvenile fiction, Students -- Juvenile fiction, Teachers -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction",False,186
Pioneers of the Old South: A Chronicle of English Colonial Beginnings,"Johnston, Mary",1870,1936,,"British Americans -- Southern States, Frontier and pioneer life -- Southern States, Maryland -- History, Southern States -- History -- Colonial period, ca. 1600-1775, United States -- History -- Colonial period, ca. 1600-1775, Virginia -- History","Browsing: History - American, Browsing: History - General, Children's History, United States",False,185
The Hispanic Nations of the New World: A Chronicle of Our Southern Neighbors,"Shepherd, William R. (William Robert)",1871,1934,,"America, Latin America -- History","Browsing: History - American, Browsing: History - General, Browsing: Travel & Geography, Children's History, United States",False,185
The Dutch Twins,"Perkins, Lucy Fitch",1865,1937,,"Netherlands -- Fiction, Twins -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Children's Book Series",False,185
Tom Swift and His Photo Telephone or the Picture That Saved a Fortune,"Appleton, Victor",,,,"Adventure and adventurers -- Juvenile fiction, Swift, Tom (Fictitious character) -- Juvenile fiction, Video telephone -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Children's Book Series",False,185
